date,symbol,open,close,volume,open_interest,first_notice,till_notice_cd,is_passed,Best_Vol,Best_Oi,B_V_3,auto_roll,Auto_Best_V,Forced_roll_V,Forced_Best_V,+2_Forced_Roll_V,+2_Forced_Best_V,auto_roll_hold,+1_auto_roll_hold,forced_roll_hold,f_r_h_Best_V,confirm_forced_roll_hold,Test_Hold,Test_Best_V
1989-05-19,ZC-1990K,266.0,267.5,27,1504,1990-04-30,346,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-19,ZC-1990N,268.5,269.0,13,836,1990-06-29,406,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-22,ZC-1989N,269.5,266.0,30781,75926,1989-06-30,39,false,true,true,true,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-22,ZC-1989U,260.5,253.5,4500,17946,1989-08-31,101,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-22,ZC-1989Z,253.0,249.25,13694,59515,1989-11-30,192,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-22,ZC-1990H,260.5,256.25,896,7814,1990-02-28,282,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-22,ZC-1990K,260.5,259.0,440,1805,1990-04-30,343,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-22,ZC-1990N,259.0,259.5,30,848,1990-06-29,403,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-22,ZC-1990U,255.0,253.0,3,2,1990-08-31,466,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-22,ZC-1990Z,250.0,249.5,1,1,1990-11-30,557,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-23,ZC-1989N,266.5,265.0,22291,74914,1989-06-30,38,false,true,true,true,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-23,ZC-1989U,254.0,250.5,3890,18303,1989-08-31,100,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-23,ZC-1989Z,249.25,245.25,13532,60915,1989-11-30,191,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-23,ZC-1990H,256.5,252.75,901,8055,1990-02-28,281,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-23,ZC-1990K,260.0,255.75,183,1868,1990-04-30,342,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-23,ZC-1990N,259.0,256.25,105,895,1990-06-29,402,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-23,ZC-1990U,247.0,247.0,0,2,1990-08-31,465,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-23,ZC-1990Z,249.5,243.75,3,3,1990-11-30,556,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
